gene_id,gene_type,gene_short_name
ENSMUSG00000087199.1,antisense,Gm15818
ENSMUSG00000025917.9,protein_coding,Cops5
ENSMUSG00000056763.16,protein_coding,Cspp1
ENSMUSG00000067851.11,protein_coding,Arfgef1
ENSMUSG00000102556.1,TEC,Gm37569
ENSMUSG00000042501.12,protein_coding,Cpa6
ENSMUSG00000103810.1,TEC,Gm38005
ENSMUSG00000083422.1,processed_pseudogene,Gm15604
ENSMUSG00000048960.13,protein_coding,Prex2
ENSMUSG00000057715.13,protein_coding,A830018L16Rik
ENSMUSG00000103825.1,TEC,Gm38178
ENSMUSG00000103561.1,TEC,Gm38069
ENSMUSG00000016918.15,protein_coding,Sulf1
ENSMUSG00000025938.16,protein_coding,Slco5a1
ENSMUSG00000099498.1,lincRNA,Gm29283
ENSMUSG00000042414.7,protein_coding,Prdm14
ENSMUSG00000005886.14,protein_coding,Ncoa2
ENSMUSG00000103506.1,TEC,Gm38376
ENSMUSG00000103495.1,TEC,Gm37409
ENSMUSG00000102639.1,TEC,Gm38223
ENSMUSG00000104170.1,TEC,Gm37702
ENSMUSG00000103085.1,TEC,Gm38120
ENSMUSG00000102664.1,TEC,Gm38380
ENSMUSG00000101476.1,antisense,Gm29570
ENSMUSG00000025935.10,protein_coding,Tram1
ENSMUSG00000025937.6,protein_coding,Lactb2
ENSMUSG00000102982.1,TEC,Gm38319
ENSMUSG00000067813.3,protein_coding,Xkr9
ENSMUSG00000025932.14,protein_coding,Eya1
ENSMUSG00000102588.1,TEC,Gm37444
ENSMUSG00000054493.2,antisense,Gm9947
ENSMUSG00000025930.6,protein_coding,Msc
ENSMUSG00000103492.1,TEC,Gm37412
ENSMUSG00000082193.1,processed_pseudogene,Rpl5-ps1
ENSMUSG00000032769.4,protein_coding,Trpa1
ENSMUSG00000092083.4,protein_coding,Kcnb2
ENSMUSG00000102937.1,TEC,Gm38116
ENSMUSG00000104149.1,TEC,Gm37138
ENSMUSG00000025925.14,protein_coding,Terf1
ENSMUSG00000104379.1,TEC,Gm37509
ENSMUSG00000032719.4,protein_coding,Sbspon
ENSMUSG00000067795.13,protein_coding,4930444P10Rik
ENSMUSG00000043716.13,protein_coding,Rpl7
ENSMUSG00000025921.7,protein_coding,Rdh10
ENSMUSG00000100868.1,antisense,Gm28095
ENSMUSG00000025920.19,protein_coding,Stau2
ENSMUSG00000089982.7,antisense,Gm7568
ENSMUSG00000025939.17,protein_coding,Ube2w
ENSMUSG00000079658.9,protein_coding,Tceb1
ENSMUSG00000025940.6,protein_coding,Tmem70
ENSMUSG00000025779.10,protein_coding,Ly96
ENSMUSG00000101640.1,antisense,Gm28376
ENSMUSG00000042686.5,protein_coding,Jph1
ENSMUSG00000025777.8,protein_coding,Gdap1
ENSMUSG00000099899.1,lincRNA,Gm28784
ENSMUSG00000101589.1,processed_pseudogene,Rbm6-ps1
ENSMUSG00000067780.3,protein_coding,Pi15
ENSMUSG00000100053.1,antisense,Gm28154
ENSMUSG00000085125.7,antisense,Gm16070
ENSMUSG00000025776.13,protein_coding,Crispld1
ENSMUSG00000099895.1,antisense,Gm28153
ENSMUSG00000109887.1,processed_transcript,RP24-571A14.6
ENSMUSG00000102001.1,unprocessed_pseudogene,Gm28755
ENSMUSG00000101717.2,transcribed_unprocessed_pseudogene,Gm28756
ENSMUSG00000025774.14,protein_coding,Crisp4
ENSMUSG00000070977.4,unprocessed_pseudogene,Defb44-ps
ENSMUSG00000067773.6,protein_coding,Defb41
ENSMUSG00000089787.2,antisense,Gm15825
ENSMUSG00000042596.7,protein_coding,Tfap2d
ENSMUSG00000025927.13,protein_coding,Tfap2b
ENSMUSG00000043760.16,protein_coding,Pkhd1
ENSMUSG00000089914.2,antisense,4930486I03Rik
ENSMUSG00000099906.1,lincRNA,Gm28653
ENSMUSG00000065480.1,miRNA,Mir133b
ENSMUSG00000041872.9,protein_coding,Il17f
ENSMUSG00000041859.10,protein_coding,Mcm3
ENSMUSG00000097934.1,lincRNA,6720483E21Rik
ENSMUSG00000025931.15,protein_coding,Paqr8
ENSMUSG00000041809.5,protein_coding,Efhc1
ENSMUSG00000041779.5,protein_coding,Tram2
ENSMUSG00000100819.1,unprocessed_pseudogene,Gm2693
ENSMUSG00000025933.15,protein_coding,Tmem14a
ENSMUSG00000102633.1,TEC,Gm38224
ENSMUSG00000025934.15,protein_coding,Gsta3
ENSMUSG00000099343.1,antisense,Gm28836
ENSMUSG00000028033.16,protein_coding,Kcnq5
ENSMUSG00000104138.1,TEC,Gm36949
ENSMUSG00000082935.3,processed_pseudogene,Gm7658
ENSMUSG00000103748.1,TEC,Gm38243
ENSMUSG00000097109.1,lincRNA,Gm26580
ENSMUSG00000041670.15,protein_coding,Rims1
ENSMUSG00000101227.1,sense_overlapping,Gm29506
ENSMUSG00000100775.1,lincRNA,Gm29107
ENSMUSG00000026158.11,protein_coding,Ogfrl1
ENSMUSG00000097920.1,processed_pseudogene,Gm7784
ENSMUSG00000099503.1,lincRNA,Gm28822
ENSMUSG00000026156.8,protein_coding,B3gat2
ENSMUSG00000026155.13,protein_coding,Smap1
ENSMUSG00000026154.4,protein_coding,Sdhaf4
ENSMUSG00000026153.15,protein_coding,Fam135a
ENSMUSG00000026147.16,protein_coding,Col9a1
ENSMUSG00000026141.13,protein_coding,Col19a1
ENSMUSG00000101939.1,unprocessed_pseudogene,Gm28438
ENSMUSG00000101249.1,unprocessed_pseudogene,Gm29216
ENSMUSG00000073725.8,protein_coding,Lmbrd1
ENSMUSG00000033569.17,protein_coding,Adgrb3
ENSMUSG00000104257.1,TEC,Gm20172
ENSMUSG00000102296.1,TEC,Gm37543
ENSMUSG00000103209.1,TEC,Gm37331
ENSMUSG00000104027.1,TEC,Gm37211
ENSMUSG00000102407.1,TEC,Gm37862
ENSMUSG00000103214.1,TEC,Gm38286
ENSMUSG00000104100.1,TEC,Gm37880
ENSMUSG00000103889.1,TEC,Gm37011
ENSMUSG00000101301.1,processed_pseudogene,Gm29214
ENSMUSG00000104221.1,TEC,Gm37051
ENSMUSG00000102250.1,TEC,Gm38260
ENSMUSG00000102317.1,TEC,Gm37628
ENSMUSG00000103563.1,TEC,8030445P17Rik
ENSMUSG00000102465.1,TEC,Gm38198
ENSMUSG00000102659.1,TEC,Gm37077
ENSMUSG00000103924.1,TEC,Gm37895
ENSMUSG00000104132.1,TEC,Gm36952
ENSMUSG00000102747.1,TEC,Gm37602
ENSMUSG00000102386.1,TEC,2900022M07Rik
ENSMUSG00000103004.1,TEC,2900002M20Rik
ENSMUSG00000104516.1,TEC,Gm9884
ENSMUSG00000101514.1,lincRNA,Gm5524
ENSMUSG00000048874.15,protein_coding,Phf3
ENSMUSG00000103783.1,TEC,Gm37522
ENSMUSG00000104315.1,TEC,Gm37906
ENSMUSG00000026064.15,protein_coding,Ptp4a1
ENSMUSG00000100371.1,lincRNA,Gm29669
ENSMUSG00000086727.7,protein_coding,4931428L18Rik
ENSMUSG00000050217.13,protein_coding,Lgsn
ENSMUSG00000026058.11,protein_coding,Khdrbs2
ENSMUSG00000103482.1,TEC,Gm37999
ENSMUSG00000104313.1,TEC,Gm37911
ENSMUSG00000102321.1,TEC,Gm37792
ENSMUSG00000091318.2,protein_coding,Gm5415
ENSMUSG00000026134.11,protein_coding,Prim2
ENSMUSG00000101682.1,processed_pseudogene,Gm29228
ENSMUSG00000102714.1,TEC,Gm37618
ENSMUSG00000103746.1,TEC,1700001G17Rik
ENSMUSG00000102198.1,TEC,Gm38173
ENSMUSG00000004768.14,protein_coding,Rab23
ENSMUSG00000042215.8,protein_coding,Bag2
ENSMUSG00000042197.13,protein_coding,Zfp451
ENSMUSG00000042182.16,protein_coding,Bend6
ENSMUSG00000104416.1,TEC,Gm37067
ENSMUSG00000026131.18,protein_coding,Dst
ENSMUSG00000103596.1,TEC,Gm37354
ENSMUSG00000103364.1,TEC,Gm38157
ENSMUSG00000096992.3,processed_transcript,Gm26788
ENSMUSG00000103001.1,TEC,A930005N03Rik
ENSMUSG00000101462.2,transcribed_processed_pseudogene,Gm3052
ENSMUSG00000102336.1,lincRNA,Gm37233
ENSMUSG00000042111.9,protein_coding,Ccdc115
ENSMUSG00000101711.1,antisense,Gm28306
ENSMUSG00000026127.13,protein_coding,Imp4
ENSMUSG00000026126.15,protein_coding,Ptpn18
ENSMUSG00000100280.2,processed_transcript,Gm28417
ENSMUSG00000101223.6,lincRNA,4930568A12Rik
ENSMUSG00000026124.4,protein_coding,Cfc1
ENSMUSG00000037529.13,protein_coding,Prss40
ENSMUSG00000045174.10,protein_coding,Amer3
ENSMUSG00000103521.1,processed_pseudogene,Gm29730
ENSMUSG00000037509.19,protein_coding,Arhgef4
ENSMUSG00000102537.1,processed_pseudogene,Gm37224
ENSMUSG00000104002.2,antisense,Gm38336
ENSMUSG00000037503.12,protein_coding,Fam168b
ENSMUSG00000104358.1,TEC,Gm37127
ENSMUSG00000026123.11,protein_coding,Plekhb2
ENSMUSG00000104417.1,lincRNA,Gm37068
ENSMUSG00000101714.1,lincRNA,Gm28415
ENSMUSG00000103708.1,lincRNA,Gm33222
ENSMUSG00000045216.7,protein_coding,Hs6st1
ENSMUSG00000104523.1,antisense,Gm37335
ENSMUSG00000102202.1,lincRNA,Gm33280
ENSMUSG00000037470.14,protein_coding,Uggt1
ENSMUSG00000047180.8,protein_coding,Neurl3
ENSMUSG00000037447.16,protein_coding,Arid5a
ENSMUSG00000010453.12,protein_coding,Kansl3
ENSMUSG00000037432.15,protein_coding,Fer1l5
ENSMUSG00000001143.13,protein_coding,Lman2l
ENSMUSG00000037408.10,protein_coding,Cnnm4
ENSMUSG00000001138.13,protein_coding,Cnnm3
ENSMUSG00000102845.1,antisense,Gm38033
ENSMUSG00000067653.12,protein_coding,Ankrd23
ENSMUSG00000079610.9,protein_coding,Ankrd39
ENSMUSG00000026121.13,protein_coding,Sema4c
ENSMUSG00000087589.3,processed_transcript,D430040D24Rik
ENSMUSG00000046337.17,protein_coding,Fam178b
ENSMUSG00000061518.10,protein_coding,Cox5b
ENSMUSG00000037351.9,protein_coding,Actr1b
ENSMUSG00000102416.4,protein_coding,4933424G06Rik
ENSMUSG00000104237.1,lincRNA,Gm33533
ENSMUSG00000026117.10,protein_coding,Zap70
ENSMUSG00000026116.11,protein_coding,Tmem131
ENSMUSG00000102930.1,sense_intronic,Gm38115
ENSMUSG00000103159.1,TEC,F830112A20Rik
ENSMUSG00000050122.18,protein_coding,Vwa3b
ENSMUSG00000026114.14,protein_coding,Cnga3
ENSMUSG00000026113.17,protein_coding,Inpp4a
ENSMUSG00000086064.1,antisense,4930439A04Rik
ENSMUSG00000026112.7,protein_coding,Coa5
ENSMUSG00000026111.15,protein_coding,Unc50
ENSMUSG00000026110.15,protein_coding,Mgat4a
ENSMUSG00000103948.1,TEC,4930594C11Rik
ENSMUSG00000087233.1,processed_pseudogene,Gm43213
ENSMUSG00000026090.16,protein_coding,2010300C02Rik
ENSMUSG00000060771.14,protein_coding,Tsga10
ENSMUSG00000097268.1,antisense,Gm26805
ENSMUSG00000037216.5,protein_coding,Lipt1
ENSMUSG00000026088.15,protein_coding,Mitd1
ENSMUSG00000026087.11,protein_coding,Mrpl30
ENSMUSG00000061584.6,protein_coding,Lyg2
ENSMUSG00000087374.1,antisense,Gm15457
ENSMUSG00000058407.12,protein_coding,Txndc9
ENSMUSG00000026083.12,protein_coding,Eif5b
ENSMUSG00000026082.11,protein_coding,Rev1
ENSMUSG00000103804.1,sense_intronic,Gm37062
ENSMUSG00000102716.1,lincRNA,Gm5099
ENSMUSG00000037138.17,protein_coding,Aff3
ENSMUSG00000085391.1,antisense,Gm16150
ENSMUSG00000085280.1,antisense,Gm16151
ENSMUSG00000087131.7,antisense,Gm16152
ENSMUSG00000102984.1,processed_pseudogene,Gm34727
ENSMUSG00000048814.10,protein_coding,Lonrf2
ENSMUSG00000026080.13,protein_coding,Chst10
ENSMUSG00000103647.1,antisense,Gm37707
ENSMUSG00000067604.8,protein_coding,Nms
ENSMUSG00000026078.10,protein_coding,Pdcl3
ENSMUSG00000103046.1,TEC,Gm37309
ENSMUSG00000026077.15,protein_coding,Npas2
ENSMUSG00000092563.1,processed_pseudogene,Gm3617
ENSMUSG00000073702.11,protein_coding,Rpl31
ENSMUSG00000003134.10,protein_coding,Tbc1d8
ENSMUSG00000003135.15,protein_coding,Cnot11
ENSMUSG00000085894.1,processed_transcript,Gm15832
ENSMUSG00000048234.13,protein_coding,Rnf149
ENSMUSG00000064936.1,snoRNA,Gm23722
ENSMUSG00000050967.5,protein_coding,Creg2
ENSMUSG00000057173.8,protein_coding,Rfx8
ENSMUSG00000101634.6,lincRNA,1700066B17Rik
ENSMUSG00000026074.14,protein_coding,Map4k4
ENSMUSG00000026073.13,protein_coding,Il1r2
ENSMUSG00000097899.2,antisense,Gm16894
ENSMUSG00000026072.12,protein_coding,Il1r1
ENSMUSG00000103560.1,TEC,Gm38070
ENSMUSG00000070942.8,protein_coding,Il1rl2
ENSMUSG00000026069.15,protein_coding,Il1rl1
ENSMUSG00000026070.15,protein_coding,Il18r1
ENSMUSG00000026068.11,protein_coding,Il18rap
ENSMUSG00000026065.8,protein_coding,Slc9a4
ENSMUSG00000026062.12,protein_coding,Slc9a2
ENSMUSG00000103270.1,antisense,Gm37915
ENSMUSG00000041945.12,protein_coding,Mfsd9
ENSMUSG00000079588.3,protein_coding,Tmem182
ENSMUSG00000100832.1,lincRNA,Gm29260
ENSMUSG00000101299.2,lincRNA,Gm28175
ENSMUSG00000100180.1,lincRNA,Gm28140
ENSMUSG00000103106.1,TEC,Gm37047
ENSMUSG00000060424.14,lincRNA,Pantr1
ENSMUSG00000104199.1,TEC,4930420N18Rik
ENSMUSG00000093436.6,sense_overlapping,Gm20646
ENSMUSG00000045515.3,protein_coding,Pou3f3
ENSMUSG00000097063.3,processed_transcript,Pantr2
ENSMUSG00000099784.1,lincRNA,Dalir
ENSMUSG00000060679.14,protein_coding,Mrps9
ENSMUSG00000041907.9,protein_coding,Gpr45
ENSMUSG00000070939.9,protein_coding,Tgfbrap1
ENSMUSG00000041878.3,antisense,8430432A02Rik
ENSMUSG00000010290.7,protein_coding,AI597479
ENSMUSG00000008136.14,protein_coding,Fhl2
ENSMUSG00000099576.1,lincRNA,Gm29040
ENSMUSG00000066877.11,protein_coding,Nck2
ENSMUSG00000103422.1,TEC,Gm37536
ENSMUSG00000103945.1,TEC,Gm38228
ENSMUSG00000026051.8,protein_coding,1500015O10Rik
ENSMUSG00000100764.1,antisense,Gm29155
ENSMUSG00000100480.1,lincRNA,Gm29156
ENSMUSG00000057363.12,protein_coding,Uxs1
ENSMUSG00000041763.14,protein_coding,Tpp2
ENSMUSG00000047343.4,protein_coding,Mettl21c
ENSMUSG00000091844.1,protein_coding,Gm8251
ENSMUSG00000026049.11,protein_coding,Tex30
ENSMUSG00000101104.6,processed_transcript,Gm29247
ENSMUSG00000026047.13,protein_coding,Kdelc1
ENSMUSG00000041684.11,protein_coding,Bivm
ENSMUSG00000026048.16,protein_coding,Ercc5
ENSMUSG00000056870.9,protein_coding,Gulp1
ENSMUSG00000102319.1,TEC,Gm37626
ENSMUSG00000101701.1,antisense,4930521E06Rik
ENSMUSG00000103071.1,TEC,Gm38110
ENSMUSG00000026043.18,protein_coding,Col3a1
ENSMUSG00000026042.16,protein_coding,Col5a2
ENSMUSG00000104476.1,TEC,Gm38211
ENSMUSG00000025995.16,protein_coding,Wdr75
ENSMUSG00000025993.10,protein_coding,Slc40a1
ENSMUSG00000041144.10,protein_coding,Dnah7b
ENSMUSG00000096047.1,rRNA,n-R5s211
ENSMUSG00000101337.6,protein_coding,Dnah7c
ENSMUSG00000025986.6,protein_coding,Slc39a10
ENSMUSG00000100213.1,lincRNA,Gm28151
ENSMUSG00000103129.1,TEC,Gm37393
ENSMUSG00000101447.1,lincRNA,Gm28826
ENSMUSG00000100033.1,processed_pseudogene,Gm8337
ENSMUSG00000064943.1,snRNA,Gm23240
ENSMUSG00000051616.14,lincRNA,C230029F24Rik
ENSMUSG00000026109.14,protein_coding,Tmeff2
ENSMUSG00000101242.1,antisense,Gm28319
ENSMUSG00000099924.1,sense_intronic,Gm28320
ENSMUSG00000099625.1,lincRNA,Gm29325
ENSMUSG00000101799.1,antisense,9330175M20Rik
ENSMUSG00000045954.7,protein_coding,Sdpr
ENSMUSG00000026107.11,protein_coding,Nabp1
ENSMUSG00000099413.1,lincRNA,Gm17767
ENSMUSG00000101741.1,lincRNA,Gm28055
ENSMUSG00000018417.14,protein_coding,Myo1b
ENSMUSG00000101724.1,sense_intronic,Gm29453
ENSMUSG00000100313.1,sense_intronic,Gm28323
ENSMUSG00000072324.4,processed_pseudogene,Gm8420
ENSMUSG00000062939.11,protein_coding,Stat4
ENSMUSG00000101628.1,processed_transcript,Gm28177
ENSMUSG00000109599.1,lincRNA,Gm45679
ENSMUSG00000026104.14,protein_coding,Stat1
ENSMUSG00000026103.14,protein_coding,Gls
ENSMUSG00000002881.14,protein_coding,Nab1
ENSMUSG00000101501.1,processed_pseudogene,Rps27a-ps1
ENSMUSG00000100120.1,lincRNA,Gm553
ENSMUSG00000043015.15,protein_coding,Nemp2
ENSMUSG00000041439.15,protein_coding,Mfsd6
ENSMUSG00000100302.1,sense_intronic,Gm29670
ENSMUSG00000026102.9,protein_coding,Inpp1
ENSMUSG00000041426.12,protein_coding,Hibch
ENSMUSG00000043629.12,protein_coding,1700019D03Rik
ENSMUSG00000026100.6,protein_coding,Mstn
ENSMUSG00000060715.9,protein_coding,1700019A02Rik
ENSMUSG00000026098.13,protein_coding,Pms1
ENSMUSG00000100763.1,antisense,Gm28777
ENSMUSG00000026097.9,protein_coding,Ormdl1
ENSMUSG00000100679.1,protein_coding,Gm28778
ENSMUSG00000026096.14,protein_coding,Osgepl1
ENSMUSG00000099913.1,protein_coding,Gm28551
ENSMUSG00000101838.6,transcribed_unprocessed_pseudogene,Gm18800
ENSMUSG00000026095.15,protein_coding,Asnsd1
ENSMUSG00000096141.2,protein_coding,Dnah7a
ENSMUSG00000026094.14,protein_coding,Stk17b
ENSMUSG00000042807.15,protein_coding,Hecw2
ENSMUSG00000102868.1,TEC,Gm37633
ENSMUSG00000025983.11,protein_coding,Ccdc150
ENSMUSG00000041303.7,protein_coding,Gtf3c3
ENSMUSG00000073678.4,protein_coding,Pgap1
ENSMUSG00000104136.1,TEC,Gm36955
ENSMUSG00000052331.14,protein_coding,Ankrd44
ENSMUSG00000101674.6,antisense,4930444A19Rik
ENSMUSG00000102503.1,TEC,Gm37370
ENSMUSG00000102642.1,TEC,A130048G24Rik
ENSMUSG00000025982.13,protein_coding,Sf3b1
ENSMUSG00000025981.13,protein_coding,Coq10b
ENSMUSG00000101122.1,processed_pseudogene,Gm17971
ENSMUSG00000025980.14,protein_coding,Hspd1
ENSMUSG00000073676.4,protein_coding,Hspe1
ENSMUSG00000025979.13,protein_coding,Mob4
ENSMUSG00000025978.14,protein_coding,Rftn2
ENSMUSG00000097649.2,antisense,Gm10561
ENSMUSG00000046994.9,protein_coding,Mars2
ENSMUSG00000025977.15,protein_coding,Boll
ENSMUSG00000100215.1,processed_pseudogene,Gm8292
ENSMUSG00000038349.10,protein_coding,Plcl1
ENSMUSG00000102145.1,TEC,Gm38056
ENSMUSG00000102831.1,TEC,Gm37382
ENSMUSG00000099950.1,lincRNA,9130227L01Rik
ENSMUSG00000038331.15,protein_coding,Satb2
ENSMUSG00000087022.4,processed_transcript,9130024F11Rik
ENSMUSG00000101429.1,lincRNA,BC055402
ENSMUSG00000097519.2,lincRNA,4930558J18Rik
ENSMUSG00000038323.3,protein_coding,1700066M21Rik
ENSMUSG00000048495.16,protein_coding,Tyw5
ENSMUSG00000025971.6,protein_coding,9430016H08Rik
ENSMUSG00000038305.14,protein_coding,Spats2l
ENSMUSG00000091283.1,antisense,Gm17234
ENSMUSG00000054770.16,protein_coding,Kctd18
ENSMUSG00000026039.9,protein_coding,Sgol2a
ENSMUSG00000063558.4,protein_coding,Aox1
ENSMUSG00000064294.12,protein_coding,Aox3
ENSMUSG00000038242.12,protein_coding,Aox4
ENSMUSG00000089822.1,antisense,Gm15759
ENSMUSG00000079554.2,protein_coding,Aox2
ENSMUSG00000103839.1,TEC,Gm37607
ENSMUSG00000051223.14,protein_coding,Bzw1
ENSMUSG00000026034.17,protein_coding,Clk1
ENSMUSG00000026035.15,protein_coding,Ppil3
ENSMUSG00000026036.17,protein_coding,Nif3l1
ENSMUSG00000026037.14,protein_coding,Orc2
ENSMUSG00000094245.1,snRNA,Gm23966
ENSMUSG00000085054.2,lincRNA,Gm15834
ENSMUSG00000038174.14,protein_coding,Fam126b
ENSMUSG00000026032.8,protein_coding,Ndufb3
ENSMUSG00000047528.13,protein_coding,Als2cr12
ENSMUSG00000102059.1,transcribed_unprocessed_pseudogene,Gm20257
ENSMUSG00000026031.15,protein_coding,Cflar
ENSMUSG00000026029.14,protein_coding,Casp8
ENSMUSG00000102719.1,TEC,Gm37760
ENSMUSG00000099719.1,unprocessed_pseudogene,Gm28802
ENSMUSG00000026028.12,protein_coding,Trak2
ENSMUSG00000026027.13,protein_coding,Stradb
ENSMUSG00000047383.8,lincRNA,Als2cr11b
ENSMUSG00000099752.1,antisense,Gm29018
ENSMUSG00000072295.5,protein_coding,Als2cr11
ENSMUSG00000038079.14,protein_coding,Tmem237
ENSMUSG00000097573.2,antisense,G730003C15Rik
ENSMUSG00000079550.9,protein_coding,Mpp4
ENSMUSG00000101586.1,antisense,Gm29017
ENSMUSG00000026024.14,protein_coding,Als2
ENSMUSG00000026023.16,protein_coding,Cdk15
ENSMUSG00000041075.8,protein_coding,Fzd7
ENSMUSG00000097819.1,lincRNA,Gm26813
ENSMUSG00000047361.16,protein_coding,Gm973
ENSMUSG00000099811.6,antisense,Gm28411
ENSMUSG00000026021.15,protein_coding,Sumo1
ENSMUSG00000103821.1,TEC,D430013B06Rik
ENSMUSG00000101400.1,processed_pseudogene,Gm29596
ENSMUSG00000026020.9,protein_coding,Nop58
ENSMUSG00000077345.1,snoRNA,Snord70
ENSMUSG00000067336.6,protein_coding,Bmpr2
ENSMUSG00000104052.1,TEC,Gm38125
ENSMUSG00000041040.12,protein_coding,Fam117b
ENSMUSG00000103696.1,TEC,Gm37531
ENSMUSG00000100901.1,processed_pseudogene,Gm18829
ENSMUSG00000026018.12,protein_coding,Ica1l
ENSMUSG00000026019.15,protein_coding,Wdr12
ENSMUSG00000026017.13,protein_coding,Carf
ENSMUSG00000082609.1,processed_pseudogene,Gm15464
ENSMUSG00000073664.11,protein_coding,Nbeal1
ENSMUSG00000049439.13,protein_coding,Cyp20a1
ENSMUSG00000103822.1,TEC,6030460B20Rik
ENSMUSG00000026782.15,protein_coding,Abi2
ENSMUSG00000026014.15,protein_coding,Raph1
ENSMUSG00000081562.1,processed_pseudogene,Gm11575
ENSMUSG00000084400.1,processed_pseudogene,Gm11576
ENSMUSG00000026012.2,protein_coding,Cd28
ENSMUSG00000104069.1,TEC,Gm37198
ENSMUSG00000026011.13,protein_coding,Ctla4
ENSMUSG00000081382.1,processed_pseudogene,Rpl18-ps1
ENSMUSG00000026009.14,protein_coding,Icos
ENSMUSG00000085248.2,lincRNA,Gm11587
ENSMUSG00000085447.1,lincRNA,9530026F06Rik
ENSMUSG00000086408.1,lincRNA,Gm11588
ENSMUSG00000052062.14,protein_coding,Pard3b
ENSMUSG00000103656.1,TEC,Gm37205
ENSMUSG00000104402.1,TEC,Gm38012
ENSMUSG00000104081.1,TEC,Gm38278
ENSMUSG00000085842.7,antisense,Pard3bos1
ENSMUSG00000103002.1,TEC,Gm38075
ENSMUSG00000085019.2,antisense,Pard3bos2
ENSMUSG00000102359.1,TEC,Gm38351
ENSMUSG00000085400.1,antisense,Pard3bos3
ENSMUSG00000084333.1,processed_pseudogene,Gm11599
ENSMUSG00000025969.15,protein_coding,Nrp2
ENSMUSG00000100811.1,antisense,Gm29083
ENSMUSG00000103032.1,TEC,Gm37121
ENSMUSG00000100426.1,lincRNA,Gm4208
ENSMUSG00000040865.15,protein_coding,Ino80d
ENSMUSG00000084799.7,lincRNA,Ino80dos
ENSMUSG00000101599.1,lincRNA,Gm20342
ENSMUSG00000025968.16,protein_coding,Ndufs1
ENSMUSG00000025967.16,protein_coding,Eef1b2
ENSMUSG00000064602.1,snoRNA,Snora41
ENSMUSG00000046856.13,protein_coding,Gpr1
ENSMUSG00000102536.1,TEC,1700039I01Rik
ENSMUSG00000027520.15,protein_coding,Zdbf2
ENSMUSG00000025964.15,protein_coding,Adam23
ENSMUSG00000069085.5,protein_coding,Dytn
ENSMUSG00000025963.5,protein_coding,Mdh1b
ENSMUSG00000025962.15,protein_coding,Fastkd2
ENSMUSG00000025961.1,protein_coding,4933402D24Rik
